Data,Types,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:00,1.859628491,0.438709677,2.320737327,0.244239631,0.410138249,1.638709677,0.062672811,0.2359447,0.021198157,1.166820276,1.585253456,5.376958525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20:00,3.653068762,0.7,3.84,13.04,11.1,5.52,1.26,0.2,0.08,3.28,6.18,25.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21:00,2.441349366,0.709471767,5.675774135,0.078324226,0.113843352,1.222222222,0.079234973,1.08287796,0.346083789,2.349726776,6.418032787,9.484517304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22:00,3.713274536,0,0,0.5,40.5,0,0,0,0,0,41,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23:00,3.615858949,1.159090909,4.227272727,2.613636364,18.57575758,6.742424242,0.712121212,0.606060606,0.121212121,2.810606061,2.863636364,21.27272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24:00:00,2.631615805,0.010135135,0.148648649,1.074324324,12.17905405,0.209459459,0.003378378,0.027027027,0.006756757,0.327702703,13.33445946,10.72635135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25:00:00,2.105817291,0.010344828,0.136781609,0.932183908,6.745977011,0.262068966,0.006896552,0.012643678,0.005747126,0.179310345,7.568965517,7.148275862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26:00:00,2.579435127,0.282894737,1.601973684,4.940789474,2.539473684,1.674342105,0.1875,0.138157895,0.023026316,1.976973684,5.177631579,11.33881579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27:00:00,3.027248804,0.011520737,0.186635945,1.343317972,16.89400922,1.850230415,0.094470046,0.032258065,0,0.329493088,6.17281106,13.77880184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28:00:00,3.824735296,0.005952381,0.19047619,1.30952381,39.13095238,4.541666667,0.279761905,0.017857143,0,0.410714286,7.392857143,18.26190476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
